order,word,phonetic,example,note,definition_en
1,animation,/ˌænɪˈmeɪʃən/,The animation workshop provided hands-on experience in creating and editing animated sequences.,,
2,artificial intelligence,/ˌɑːɹɾɪfˈɪʃəl ɪntˈɛlɪdʒəns/,This chatbot is powered by advanced artificial intelligence.,,
3,virtual,/ˈvɝtʃuəɫ/,Virtual reality technology allows users to immerse themselves in simulated environments.,,
4,virtual reality,/vˈɜːtʃuːəl ɹɪˈælɪɾi/,Virtual reality allows users to explore immersive 3D worlds.,,
5,programming,/ˈpɹoʊˌɡɹæmɪŋ/,She learned programming to create custom software applications for her business.,,
6,bug,/ˈbʌɡ/,The software update aimed to fix a bug that caused the application to crash when opening large files.,,
7,to code,/ˈkoʊd/,She coded a new software application to automate tasks at work.,,
8,command,/kəˈmænd/,She entered the command to save the document before closing the application.,,
9,instruction,/ˌɪnˈstɹəkʃən/,"Each instruction in the program directs the computer to perform a specific task, such as adding numbers or displaying text.",,
10,database,"/ˈdætəˌbeɪs/, /ˈdeɪtəˌbeɪs/",The company's customer database contained detailed records of all client interactions and transactions.,,
11,file name,/fˈaɪl nˈeɪm/,Make sure to choose a descriptive file name that accurately represents the content of your document.,,
12,firewall,/ˈfaɪɹwɑɫ/,The company installed a firewall to prevent hackers from accessing sensitive data on its internal network.,,
13,icon,/ˈaɪkɑn/,The desktop icon for the web browser allows users to quickly open the application with a single click.,,
14,input,/ˈɪnˌpʊt/,"The user typed text into the computer, providing input that the word processor used to create a document.",,
15,output,/ˈaʊtˌpʊt/,"The screen displayed the output from the software, showing the results of the user's calculations.",,
16,to crash,/ˈkɹæʃ/,"The application crashed while he was saving his work, causing him to lose unsaved data.",,
17,to hack,/ˈhæk/,Hackers may try to hack into your email account to send spam messages to your contacts.,,
18,to import,/ɪmˈpɔrt/,The software allowed users to import data from spreadsheets into the database for analysis.,,
19,to export,/ɪkˈspɔrt/,The spreadsheet software allows users to export data into various file formats such as CSV or Excel.,,
20,to network,/ˈnɛtˌwɝːk/,Engineers networked the servers to enhance the efficiency of data processing.,,
21,to process,/ˈprɑˌsɛs/,"The computer program processed the input data, performing calculations and generating the desired output.",,
22,to select,/səˈɫɛkt/,"To open a file, first, select it from the list of documents in the file manager.",,
23,CD-ROM,/sˌiːdˈiːɹˈɑːm/,The software installation files are distributed on a CD-ROM for ease of distribution and installation.,,
24,disk,/ˈdɪsk/,She saved the important files to an external disk to back them up in case of computer failure.,,
25,mouse pad,/mˈaʊs pˈæd/,She bought a new ergonomic mouse pad to reduce strain on her wrist during long hours of computer work.,,
26,processor,/ˈpɹɑˌsɛsɝ/,The new computer featured a high-speed processor that significantly improved overall performance and multitasking capabilities.,,
27,scanner,/ˈskænɝ/,The office scanner was used to create electronic copies of important documents for easy sharing and storage.,,
28,touchscreen,/ˈtʌʧˌskriːn/,The phone has a responsive touchscreen for easy navigation.,,
29,webcam,/wˈɛbkæm/,The tech support agent asked the user to check their webcam to troubleshoot issues with the video call.,,
30,geek,/ˈɡik/,The tech company hired several geeks to develop innovative solutions for their latest product.,,
31,metaverse,/ˈmɛtəˌvɝs/,"In the metaverse, users can create avatars to explore various virtual worlds and participate in digital events.",,
